,fecha,pais,iso3,source,temperatura_media,año
318,2008-07-01,España,ESP,E-OBS,21.81,2008
319,2008-08-01,España,ESP,E-OBS,22.34,2008
320,2008-09-01,España,ESP,E-OBS,18.0,2008
321,2008-10-01,España,ESP,E-OBS,13.5,2008
322,2008-11-01,España,ESP,E-OBS,7.2,2008
323,2008-12-01,España,ESP,E-OBS,5.53,2008
324,2009-01-01,España,ESP,E-OBS,4.8,2009
325,2009-02-01,España,ESP,E-OBS,6.8,2009
326,2009-03-01,España,ESP,E-OBS,10.18,2009
327,2009-04-01,España,ESP,E-OBS,10.55,2009
328,2009-05-01,España,ESP,E-OBS,16.74,2009
329,2009-06-01,España,ESP,E-OBS,20.96,2009
330,2009-07-01,España,ESP,E-OBS,23.09,2009
331,2009-08-01,España,ESP,E-OBS,23.72,2009
332,2009-09-01,España,ESP,E-OBS,19.08,2009
333,2009-10-01,España,ESP,E-OBS,16.35,2009
334,2009-11-01,España,ESP,E-OBS,10.96,2009
335,2009-12-01,España,ESP,E-OBS,6.35,2009
336,2010-01-01,España,ESP,E-OBS,5.19,2010
337,2010-02-01,España,ESP,E-OBS,6.05,2010
338,2010-03-01,España,ESP,E-OBS,8.28,2010
339,2010-04-01,España,ESP,E-OBS,12.73,2010
340,2010-05-01,España,ESP,E-OBS,14.18,2010
341,2010-06-01,España,ESP,E-OBS,18.87,2010
342,2010-07-01,España,ESP,E-OBS,24.08,2010
343,2010-08-01,España,ESP,E-OBS,23.38,2010
344,2010-09-01,España,ESP,E-OBS,19.16,2010
345,2010-10-01,España,ESP,E-OBS,13.45,2010
346,2010-11-01,España,ESP,E-OBS,8.1,2010
347,2010-12-01,España,ESP,E-OBS,6.14,2010
348,2011-01-01,España,ESP,E-OBS,6.02,2011
349,2011-02-01,España,ESP,E-OBS,7.6,2011
350,2011-03-01,España,ESP,E-OBS,8.97,2011
351,2011-04-01,España,ESP,E-OBS,14.65,2011
352,2011-05-01,España,ESP,E-OBS,17.0,2011
353,2011-06-01,España,ESP,E-OBS,19.79,2011
354,2011-07-01,España,ESP,E-OBS,21.62,2011
355,2011-08-01,España,ESP,E-OBS,23.17,2011
356,2011-09-01,España,ESP,E-OBS,20.49,2011
357,2011-10-01,España,ESP,E-OBS,16.06,2011
358,2011-11-01,España,ESP,E-OBS,10.57,2011
359,2011-12-01,España,ESP,E-OBS,6.85,2011
360,2012-01-01,España,ESP,E-OBS,6.12,2012
361,2012-02-01,España,ESP,E-OBS,4.46,2012
362,2012-03-01,España,ESP,E-OBS,10.11,2012
363,2012-04-01,España,ESP,E-OBS,10.03,2012
364,2012-05-01,España,ESP,E-OBS,16.88,2012
365,2012-06-01,España,ESP,E-OBS,21.12,2012
366,2012-07-01,España,ESP,E-OBS,22.38,2012
367,2012-08-01,España,ESP,E-OBS,23.89,2012
368,2012-09-01,España,ESP,E-OBS,19.34,2012
369,2012-10-01,España,ESP,E-OBS,14.43,2012
370,2012-11-01,España,ESP,E-OBS,9.38,2012
371,2012-12-01,España,ESP,E-OBS,7.1,2012
372,2013-01-01,España,ESP,E-OBS,6.56,2013
373,2013-02-01,España,ESP,E-OBS,5.72,2013
374,2013-03-01,España,ESP,E-OBS,8.67,2013
375,2013-04-01,España,ESP,E-OBS,11.16,2013
376,2013-05-01,España,ESP,E-OBS,12.86,2013
377,2013-06-01,España,ESP,E-OBS,18.26,2013
378,2013-07-01,España,ESP,E-OBS,23.58,2013
379,2013-08-01,España,ESP,E-OBS,22.95,2013
380,2013-09-01,España,ESP,E-OBS,19.87,2013
381,2013-10-01,España,ESP,E-OBS,15.87,2013
382,2013-11-01,España,ESP,E-OBS,8.49,2013
383,2013-12-01,España,ESP,E-OBS,6.1,2013
384,2014-01-01,España,ESP,E-OBS,7.31,2014
385,2014-02-01,España,ESP,E-OBS,6.77,2014
386,2014-03-01,España,ESP,E-OBS,9.69,2014
387,2014-04-01,España,ESP,E-OBS,14.06,2014
388,2014-05-01,España,ESP,E-OBS,15.49,2014
389,2014-06-01,España,ESP,E-OBS,19.56,2014
390,2014-07-01,España,ESP,E-OBS,21.68,2014
391,2014-08-01,España,ESP,E-OBS,22.25,2014
392,2014-09-01,España,ESP,E-OBS,20.02,2014
393,2014-10-01,España,ESP,E-OBS,17.13,2014
394,2014-11-01,España,ESP,E-OBS,10.61,2014
395,2014-12-01,España,ESP,E-OBS,6.31,2014
396,2015-01-01,España,ESP,E-OBS,5.73,2015
397,2015-02-01,España,ESP,E-OBS,5.38,2015
398,2015-03-01,España,ESP,E-OBS,10.05,2015
399,2015-04-01,España,ESP,E-OBS,13.02,2015
400,2015-05-01,España,ESP,E-OBS,17.44,2015
401,2015-06-01,España,ESP,E-OBS,21.02,2015
402,2015-07-01,España,ESP,E-OBS,25.2,2015
403,2015-08-01,España,ESP,E-OBS,22.84,2015
404,2015-09-01,España,ESP,E-OBS,18.09,2015
405,2015-10-01,España,ESP,E-OBS,14.73,2015
406,2015-11-01,España,ESP,E-OBS,11.26,2015
407,2015-12-01,España,ESP,E-OBS,9.24,2015
408,2016-01-01,España,ESP,E-OBS,7.96,2016
409,2016-02-01,España,ESP,E-OBS,7.45,2016
410,2016-03-01,España,ESP,E-OBS,8.09,2016
411,2016-04-01,España,ESP,E-OBS,11.02,2016
412,2016-05-01,España,ESP,E-OBS,14.56,2016
413,2016-06-01,España,ESP,E-OBS,20.19,2016
414,2016-07-01,España,ESP,E-OBS,24.01,2016
415,2016-08-01,España,ESP,E-OBS,23.75,2016
416,2016-09-01,España,ESP,E-OBS,20.5,2016
417,2016-10-01,España,ESP,E-OBS,15.88,2016
418,2016-11-01,España,ESP,E-OBS,9.19,2016
419,2016-12-01,España,ESP,E-OBS,7.56,2016
420,2017-01-01,España,ESP,E-OBS,5.25,2017
421,2017-02-01,España,ESP,E-OBS,8.46,2017
422,2017-03-01,España,ESP,E-OBS,10.58,2017
423,2017-04-01,España,ESP,E-OBS,13.31,2017
424,2017-05-01,España,ESP,E-OBS,17.33,2017
425,2017-06-01,España,ESP,E-OBS,22.63,2017
426,2017-07-01,España,ESP,E-OBS,23.47,2017
427,2017-08-01,España,ESP,E-OBS,23.42,2017
428,2017-09-01,España,ESP,E-OBS,18.92,2017
429,2017-10-01,España,ESP,E-OBS,17.22,2017
430,2017-11-01,España,ESP,E-OBS,9.64,2017
431,2017-12-01,España,ESP,E-OBS,6.11,2017
432,2018-01-01,España,ESP,E-OBS,6.74,2018
433,2018-02-01,España,ESP,E-OBS,5.07,2018
434,2018-03-01,España,ESP,E-OBS,7.87,2018
435,2018-04-01,España,ESP,E-OBS,11.86,2018
436,2018-05-01,España,ESP,E-OBS,14.71,2018
437,2018-06-01,España,ESP,E-OBS,19.43,2018
438,2018-07-01,España,ESP,E-OBS,22.55,2018
439,2018-08-01,España,ESP,E-OBS,23.98,2018
440,2018-09-01,España,ESP,E-OBS,21.41,2018
441,2018-10-01,España,ESP,E-OBS,14.23,2018
442,2018-11-01,España,ESP,E-OBS,9.59,2018
443,2018-12-01,España,ESP,E-OBS,8.27,2018
444,2019-01-01,España,ESP,E-OBS,5.83,2019
445,2019-02-01,España,ESP,E-OBS,8.48,2019
446,2019-03-01,España,ESP,E-OBS,10.44,2019
447,2019-04-01,España,ESP,E-OBS,11.04,2019
448,2019-05-01,España,ESP,E-OBS,15.91,2019
449,2019-06-01,España,ESP,E-OBS,19.82,2019
450,2019-07-01,España,ESP,E-OBS,23.7,2019
451,2019-08-01,España,ESP,E-OBS,23.32,2019
452,2019-09-01,España,ESP,E-OBS,19.61,2019
453,2019-10-01,España,ESP,E-OBS,15.56,2019
454,2019-11-01,España,ESP,E-OBS,9.04,2019
455,2019-12-01,España,ESP,E-OBS,8.54,2019
456,2020-01-01,España,ESP,E-OBS,6.61,2020
457,2020-02-01,España,ESP,E-OBS,10.4,2020
458,2020-03-01,España,ESP,E-OBS,10.02,2020
459,2020-04-01,España,ESP,E-OBS,12.57,2020
460,2020-05-01,España,ESP,E-OBS,17.65,2020
461,2020-06-01,España,ESP,E-OBS,19.33,2020
462,2020-07-01,España,ESP,E-OBS,24.55,2020
463,2020-08-01,España,ESP,E-OBS,23.2,2020
464,2020-09-01,España,ESP,E-OBS,19.46,2020
465,2020-10-01,España,ESP,E-OBS,13.42,2020
